Source of Variation,SS,df,MS,F,P
Model,1612.67,7,230.38,7.64,0.0004
A,0.67,1,0.67,0.02,0.8837
B,770.67,1,770.67,25.55,0.0001
C,280.17,1,280.17,9.29,0.0077
AB,16.67,1,16.67,0.55,0.4681
AC,468.17,1,468.17,15.52,0.0012
BC,48.17,1,48.17,1.60,0.2245
ABC,28.17,1,28.17,0.93,0.3483
Error,482.67,16,30.17,,
Total,2095.33,23,,,
